"entity_cd","year","pupil_count_tot","per_federal_exp","per_state_local_exp","per_fed_state_local_exp","num_princ","num_teach","num_counselors","num_social","per_turn_all","per_turn_five_yrs","per_free_lunch","per_reduced_lunch","ELA_per_prof.18","math_per_prof.18","entity_name","student_teacher_ratio"
" 51101040000",2021,748,1027,19024,20050,2,51,3,0,12,33,44,1,77,78,"PORT BYRON CSD",14.6666666666667
" 51301040000",2021,871,912,19016,19928,2,72,2,0,14,15,43,1,91,93,"MORAVIA CSD",12.0972222222222
" 51901040000",2021,775,650,18180,18830,2,72,3,0,12,40,37,3,82,84,"UNION SPRINGS CSD",10.7638888888889
" 60201060000",2021,1316,758,15690,16448,3,112,4,0,9,33,35,2,90,96,"SOUTHWESTERN CSD AT JAMESTOWN",11.75
" 60301040000",2021,761,1066,16571,17637,2,69,3,0,3,0,41,3,92,92,"FREWSBURG CSD",11.0289855072464
" 60401040000",2021,808,1360,18889,20249,2,64,2,2,14,27,55,4,85,87,"CASSADAGA VALLEY CSD",12.625
" 60503040000",2021,716,1171,22762,23934,2,83,4,0,6,16,35,7,83,83,"CHAUTAUQUA LAKE CSD",8.62650602409639
" 60601040000",2021,466,1357,23415,24772,3,58,3,1,21,21,55,6,66,66,"PINE VALLEY CSD (SOUTH DAYTON)",8.03448275862069
" 60701040000",2021,382,1118,22946,24063,3,46,1,0,9,17,27,8,89,95,"CLYMER CSD",8.30434782608696
" 61001040000",2021,646,701,16912,17613,2,65,3,0,15,40,28,2,98,100,"BEMUS POINT CSD",9.93846153846154
" 61101040000",2021,1148,1069,15536,16605,4,97,4,1,9,20,43,6,88,92,"FALCONER CSD",11.8350515463918
" 61501040000",2021,1010,816,19748,20564,3,104,5,2,8,55,52,5,87,91,"SILVER CREEK CSD",9.71153846153846
" 61503040000",2021,418,1160,18133,19292,2,45,2,0,13,25,40,6,79,88,"FORESTVILLE CSD",9.28888888888889
" 61601040000",2021,436,1485,22125,23610,2,51,1,1,6,0,38,3,96,98,"PANAMA CSD",8.54901960784314
