"id_name","NewCasesStudents","NewCasesTeachers","NewCasesStaff","Norm.New.Stud","share_inperson","share_hybrid","share_virtual","year","pupil_count_tot","per_federal_exp","per_state_local_exp","per_fed_state_local_exp","num_princ","num_teach","num_counselors","num_social","per_turn_all","per_turn_five_yrs","per_free_lunch","per_reduced_lunch","ELA_per_prof.18","math_per_prof.18","entity_name","student_teacher_ratio","district_name","report_school_year","Princ_Sal","Teacher_Sal"
51101040000,27,11,5,27.5791624106231,0.71450271625,0,0.28549728625,2021,748,1027,19024,20050,2,51,3,0,12,33,44,1,77,78,"PORT BYRON CSD",14.6666666666667,"PORT BYRON CSD","2020-21",105577.25,67698.78431
51301040000,34,4,5,37.117903930131,0,0.816825104,0.183174896,2021,871,912,19016,19928,2,72,2,0,14,15,43,1,91,93,"MORAVIA CSD",12.0972222222222,"MORAVIA CSD","2020-21",127458.5,63548.84722
51901040000,38,5,1,41.3943355119826,0.418105439,0.45467664,0.1272179195,2021,775,650,18180,18830,2,72,3,0,12,40,37,3,82,84,"UNION SPRINGS CSD",10.7638888888889,"UNION SPRINGS CSD","2020-21",118438,70729.25
60201060000,69,18,3,54.4593528018942,0.020090117,0.910810715,0.0690991668,2021,1316,758,15690,16448,3,112,4,0,9,33,35,2,90,96,"SOUTHWESTERN CSD AT JAMESTOWN",11.75,"SOUTHWESTERN CSD AT JAMESTOWN","2020-21",95107.75,65842.86607
60301040000,51,8,5,68.4563758389262,0.983456705714286,0,0.0165432928571429,2021,761,1066,16571,17637,2,69,3,0,3,0,41,3,92,92,"FREWSBURG CSD",11.0289855072464,"FREWSBURG CSD","2020-21",85737,67442.11594
60401040000,34,6,12,33.203125,0,0.89373374,0.106266260125,2021,808,1360,18889,20249,2,64,2,2,14,27,55,4,85,87,"CASSADAGA VALLEY CSD",12.625,"CASSADAGA VALLEY CSD","2020-21",92958.5,76036.14063
60503040000,23,5,9,29.8701298701299,1,0,0,2021,716,1171,22762,23934,2,83,4,0,6,16,35,7,83,83,"CHAUTAUQUA LAKE CSD",8.62650602409639,"CHAUTAUQUA LAKE CSD","2020-21",85431,67542.54217
60601040000,27,7,3,30.6818181818182,0,1,0,2021,466,1357,23415,24772,3,58,3,1,21,21,55,6,66,66,"PINE VALLEY CSD (SOUTH DAYTON)",8.03448275862069,"PINE VALLEY CSD (SOUTH DAYTON)","2020-21",89000,55612.5
60701040000,13,8,0,21.7755443886097,0.76786255,0.232137454,0,2021,382,1118,22946,24063,3,46,1,0,9,17,27,8,89,95,"CLYMER CSD",8.30434782608696,"CLYMER CSD","2020-21",84518.33333,60619.56522
60800010000,101,26,31,53.5809018567639,0,0.521974157888889,0.47802584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUNKIRK CITY SD","2020-21",96117.33333,70019.89385
61001040000,43,14,6,60.3932584269663,0.41013414375,0.500623045,0.089242815,2021,646,701,16912,17613,2,65,3,0,15,40,28,2,98,100,"BEMUS POINT CSD",9.93846153846154,"BEMUS POINT CSD","2020-21",95567.5,62277.78462
61101040000,45,14,5,42.6136363636364,0.525296854444444,0.462004448888889,0.0126987017777778,2021,1148,1069,15536,16605,4,97,4,1,9,20,43,6,88,92,"FALCONER CSD",11.8350515463918,"FALCONER CSD","2020-21",102900.5,62393.46392
61501040000,71,14,11,81.1428571428571,0.45434213625,0.5456578675,0,2021,1010,816,19748,20564,3,104,5,2,8,55,52,5,87,91,"SILVER CREEK CSD",9.71153846153846,"SILVER CREEK CSD","2020-21",98211,62431.57692
61503040000,24,5,4,48.1927710843374,0,1,0,2021,418,1160,18133,19292,2,45,2,0,13,25,40,6,79,88,"FORESTVILLE CSD",9.28888888888889,"FORESTVILLE CSD","2020-21",104578.5,64787.57778
